id,concept,difficulty,bloom_level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
q_dt_001,Data Types,easy,remember,What is the data type of 42 in Python?,str,float,int,bool,C,Integer literals without a decimal point are of type int.
q_dt_002,Data Types,easy,remember,What is the data type of 3.14?,int,float,str,complex,B,Numbers with a decimal point are float by default.
q_dt_003,Data Types,easy,remember,What does type('hello') return?,<class 'int'>,<class 'str'>,<class 'list'>,<class 'bytes'>,B,String literals are of type str.
q_dt_004,Data Types,easy,remember,Which of these is a boolean value?,1.0,'True',True,0,C,The boolean literals in Python are True and False (capitalized).
q_dt_005,Data Types,easy,understand,What is the type of None in Python?,NoneType,null,undefined,bool,A,None is its own type: NoneType.
q_dt_006,Data Types,easy,remember,Which is a complex number literal?,3+4i,3+4j,3i4,3.4+j,B,Python uses j (not i) for the imaginary part of complex numbers.
q_dt_007,Data Types,easy,understand,What does isinstance(True, int) return?,False,True,Error,None,B,bool is a subclass of int in Python so isinstance returns True.
q_dt_008,Data Types,easy,remember,How many built-in numeric types does Python have?,2,3,4,5,B,Python has int, float, and complex as numeric types.
q_dt_009,Data Types,easy,understand,What is the value of type(None).__name__?,None,NoneType,null,undefined,B,The type of None is NoneType.
q_dt_010,Data Types,medium,apply,What does sys.maxsize represent?,Max float value,Max int value for the platform,Max string length,Max list size,B,sys.maxsize gives the platform's largest integer value.
q_var_001,Variables,easy,remember,Which of these is a valid Python variable name?,2name,_count,for,class-name,B,Variable names can start with underscore or letter but not digit or special characters.
q_var_002,Variables,easy,remember,What keyword deletes a variable?,remove,delete,del,free,C,del removes a variable binding from the current scope.
q_var_003,Variables,easy,understand,What does x = y = 5 do?,Creates two separate values,Creates a chain assignment both pointing to 5,Error,Creates a list,B,Python supports chained assignment; both x and y refer to the same object 5.
q_var_004,Variables,easy,apply,What is the output of: x=3; x+=2; print(x)?,3,2,5,Error,C,x += 2 is equivalent to x = x + 2 giving 5.
q_var_005,Variables,easy,remember,Which is a valid swap without a temp variable?,x=y; y=x,x^=y; y^=x,(x,y)=(y,x),x=y=0,C,Python tuple unpacking allows swapping without a temporary variable.
q_var_006,Variables,easy,understand,What does x = 10; del x; print(x) raise?,None,10,NameError,TypeError,C,After deletion x is no longer defined so accessing it raises NameError.
q_var_007,Variables,medium,understand,In Python variables are...,Statically typed,Dynamically typed,Weakly typed,Compiled,B,Python is dynamically typed; variable types are determined at runtime.
q_var_008,Variables,easy,remember,Which naming style is PEP 8 for variables?,camelCase,PascalCase,snake_case,UPPER_CASE,C,PEP 8 recommends snake_case for variable and function names.
q_var_009,Variables,easy,understand,What is a global variable?,Defined inside a function,Accessible only in a module,Defined at module level,Defined in a class,C,Global variables are defined at the module level and accessible everywhere.
q_var_010,Variables,medium,apply,"What prints: x=5; def f(): x=10; f(); print(x)?",10,5,Error,None,B,The x inside f() is local; the outer x remains 5.
q_op_001,Operators,easy,understand,What does // operator do in Python?,Float division,Integer floor division,Modulo,Power,B,// is the floor division operator returning the integer quotient.
q_op_002,Operators,easy,understand,What does % return for 10 % 3?,1,3,0,10,A,The modulo operator returns the remainder: 10 = 3×3 + 1.
q_op_003,Operators,easy,remember,What is the result of 2 ** 3?,6,8,9,16,B,** is the exponentiation operator: 2 raised to power 3 is 8.
q_op_004,Operators,easy,understand,What does 'not True' evaluate to?,True,False,None,Error,B,not is the logical negation operator.
q_op_005,Operators,easy,understand,Which operator checks identity?,==,is,!=,in,B,is checks object identity (same memory address) while == checks equality.
q_op_006,Operators,medium,apply,What is the result of True + True?,2,True,Error,1,A,In Python True is treated as 1 and False as 0 in arithmetic.
q_op_007,Operators,easy,understand,What does the walrus operator := do?,Assigns and returns value,Compares values,Divides values,Creates a tuple,A,The walrus operator := assigns a value to a variable as part of an expression.
q_op_008,Operators,easy,remember,What is 5 & 3 (bitwise AND)?,8,2,1,15,C,5 in binary is 101 and 3 is 011; AND gives 001 = 1.
q_op_009,Operators,easy,remember,What is 5 | 3 (bitwise OR)?,8,7,2,15,B,5 in binary is 101 and 3 is 011; OR gives 111 = 7.
q_op_010,Operators,medium,apply,What does 5 << 1 evaluate to?,2,10,20,5,B,Left shift by 1 multiplies by 2: 5 << 1 = 10.
q_tc_001,Type Casting,easy,apply,What does int('42') return?,42,42.0,'42',Error,A,int() converts a string representation of an integer to int.
q_tc_002,Type Casting,easy,apply,What does float(5) return?,5,5.0,'5.0',Error,B,float() converts int to float representation.
q_tc_003,Type Casting,easy,apply,What does str(3.14) return?,3.14,'3.14',314,Error,B,str() converts the float to its string representation.
q_tc_004,Type Casting,easy,apply,What does int(3.9) return?,4,3,3.9,Error,B,int() truncates toward zero (does not round): int(3.9) is 3.
q_tc_005,Type Casting,easy,apply,What does bool(0) return?,True,False,0,Error,B,0 is falsy in Python so bool(0) returns False.
q_tc_006,Type Casting,easy,apply,What does bool('') return?,True,False,'',Error,B,Empty string is falsy so bool('') returns False.
q_tc_007,Type Casting,medium,apply,What does int('0x1F', 16) return?,31,15,1F,Error,A,int() with base 16 parses the hex string: 0x1F = 31.
q_tc_008,Type Casting,easy,understand,Which is implicit type casting?,int('5'),x = 5 + 2.0,float(3),str(True),B,When int 5 is added to float 2.0 Python implicitly converts int to float.
